label,text
1, 1718 Basisvorming 2
72,(Antieke) meubelen herstellen
91,(hollistische) Hippotherapie: doelgericht (be)handelen met het paard als medium
72,(Zit)meubelstoffen snijden
41,’17-’18 : Mandaatvorming : CPBW : Kempen/Mechelen
3,’17-’18 : Themavorming : Onderhandelen : Kempen/Mechelen
102,+ OpleidingSverstrekker : HOGERE OPLEIDING BRANDPREVENTIE- A FIRST
72,+ OpleidingSverstrekker : OPLEIDING TOT VORMOPERATOR - VILLEROY BOCH WELLNESS NV
72,+ OpleidingSverstrekker : POLYVALENT OPERATOR ACRYL PRODUCTIE VILLEROY BOCH WELLNESS NV
71,«DUURZAME ENERGIE WERKT»
Van alternatieve elektron tot zuinige magnetron
3,10 keer herbronnen
102,1230 Rugpreventie (heffen en tillen)
31,17- '18 Socio economische actualiteit in de bouwsector – 2 groepen
92,17-18 Animatorenvorming: basismodule
92,17-18 Animatorenvorming: vervolgmodule
41,1718 De Anderstalige Militant
41,1718 Efi voor beginners
41,1718 Efi voor gevorderden
41,1718 Module Greep op het personeelsbeleid
31,17-'18 politieke actualiteit – 3 groepen
73,1718 Provinciale Vorming Bouw
41,1718 Themaweek 3 Vakbond een positief verhaal
41,1718 Themaweek Overleg in de picture
11,1718 Voortgezette Vorming
103,1718 vorming beschutte werkplaatsen deel 2
102,1718 Werkdruk en stress op de werkvloer
41,1e lijns leidinggevende in de magazijnlogistiek
41,1ste Lijns leidinggevende in de magazijnlogistiek
92,2 jarige opleiding contextgerichte zorg : systemische Gezins- en Contextbegeleiding
92,2- jarige opleiding: systematische gezinscounselling
92,2-jarige Opleiding Contextgerichte zorg : Systemische Gezins- en Contextbegeleiding
92,2-jarige opleiding Systemische Gezinscounseling
61,3D Print Productdesigner
61,3D Studio Max - Spécialisation (Animation de personage)
61,3D Studio Max - Spécialisation (Lumière et rendu)
23,3e CTSS Allemand
91,4 jarige opleiding Relatie- en Gezinstherapie
3,4daagse coaching voor de eerste leidinggevende
91,4-daagse permanente vorming nutritie
91,4-jarige opleiding familie- en systeempsychotherapie
31,4-jarige opleiding familie-en systeempsychotherapie - eerste jaars - donderdag & vrijdag - voor derde jaar
31,4-jarige opleiding familie-en systeempsychotherapie - eerste jaars - donderdag & vrijdag - voor eerste jaar
31,4-jarige opleiding familie-en systeempsychotherapie - eerste jaars - donderdag & vrijdag - voor tweede jaar
31,4-jarige opleiding familie-en systeempsychotherapie - eerste jaars - donderdag & vrijdag - voor vierde jaar
91,4-jarige opleiding relatie- en gezinstherapie
91,4jarige Opleiding Relatie- en Gezinstherapie
104,5 DAAGSE HEFTRUCK
104,5 daagse heftruck opleiding
81,59. Afstellen van ploegen en meststofstrooiers
104,5daags heftruck opleiding
3,5daagse coaching voor de eerste leidinggevende
104,5daagse hef- en reachtruck
104,5-daagse Heftruck - Training Solutions
104,5-daagse reachtruck + Punch Powertrain + 17/0512
41,6 Sigma Black Belt : Design
41,6 Sigma Green Belt
91,6-daagse opleiding Acceptance and Commitment Therapy
91,6-daagse opleiding ACT
91,6-daagse permanente vorming : pijn
91,6-daagse permanente vorming: pijn
3,7c leadership training
91,7-daagse permanente voming neurovasculaire zorg
91,7-daagse permanente vorming neurvasculaire zorg
71,A Thinking (bedrijfsinterne opleiding bij KAUTEX TEXTRON BENELUX BVBA)
71,A03 Bediener vierzijdige schaaf- en freesmachine
71,A04 Bediener bandschuurmachine
72,A05 Bediener breedbandschuurmachine
71,A07 Pistoolspuiter - vervolmaking
71,A08 Onderhoudsmechanieker
71,A10 Smeerder
71,A11 Slijper snijgereedschap
71,A12 Bediener verpakkingsmachine
71,A13 Verantwoordelijke verpakkingsmachine
70,A14 Orderpicker
41,A15 Magazijnier - goederenbehandelaar
104,A16 Heftruckchauffeur
41,A17 Kwaliteitscontroleur
71,A18 Medewerker laboratorium
71,A19 Medewerker technische dienst
71,A20 Bediener - programmeur spuitrobot
71,A21 Omstelrijdreductie - SMED
71,A3 thinking (Bedrijfsinterne opleiding bij kautex Textron Benelux)
71,A3 thinking training
71,A3 thinking training (Bedrijfsinterne opleiding bij KAUTEX TEXTRON BENELUX BVBA)
41,A35- automatisch magazijn beheren
1,A39 Werkvoorbereiding (basis)
70,A90 PICKING
41,aandelen verhandelen
72,Aanknopen van weefbomen met knooptoestel/ Nouer les ensouples avec un noueur
41,aankoop
41,Aankoopmakelaar
